category_id,content_code,is_up_to_date
4,CONTENT_00000101,0
5,CONTENT_00000101,0
6,CONTENT_00000001,0
9,CONTENT_00000001,0
8,CONTENT_00000060,0
1,CONTENT_00000061,0
5,CONTENT_00000061,0
3,CONTENT_00000062,0
6,CONTENT_00000063,0
1,CONTENT_00000063,0
10,CONTENT_00000064,0
3,CONTENT_00000064,0
1,CONTENT_00000065,0
5,CONTENT_00000066,0
7,CONTENT_00000066,0
6,CONTENT_00000066,0
1,CONTENT_00000067,0
3,CONTENT_00000068,0
5,CONTENT_00000068,0
3,CONTENT_00000069,0
2,CONTENT_00000070,0
3,CONTENT_00000070,0
10,CONTENT_00000070,0
1,CONTENT_00000071,0
8,CONTENT_00000071,0
3,CONTENT_00000071,0
3,CONTENT_00000072,0
10,CONTENT_00000072,0
4,CONTENT_00000072,0
2,CONTENT_00000073,0
5,CONTENT_00000073,0
2,CONTENT_00000074,0
7,CONTENT_00000074,0
4,CONTENT_00000075,0
9,CONTENT_00000075,0
3,CONTENT_00000075,0
1,CONTENT_00000076,0
9,CONTENT_00000076,0
2,CONTENT_00000076,0
9,CONTENT_00000077,0
7,CONTENT_00000077,0
7,CONTENT_00000078,0
10,CONTENT_00000078,0
6,CONTENT_00000078,0
3,CONTENT_00000079,0
4,CONTENT_00000080,0
1,CONTENT_00000080,0
7,CONTENT_00000081,0
10,CONTENT_00000081,0
9,CONTENT_00000081,0
7,CONTENT_00000082,0
2,CONTENT_00000083,0
5,CONTENT_00000083,0
2,CONTENT_00000084,0
9,CONTENT_00000084,0
1,CONTENT_00000084,0
2,CONTENT_00000085,0
10,CONTENT_00000085,0
1,CONTENT_00000086,0
6,CONTENT_00000087,0
2,CONTENT_00000087,0
9,CONTENT_00000088,0
7,CONTENT_00000088,0
4,CONTENT_00000088,0
8,CONTENT_00000089,0
9,CONTENT_00000090,0
4,CONTENT_00000091,0
5,CONTENT_00000091,0
8,CONTENT_00000091,0
6,CONTENT_00000007,0
8,CONTENT_00000008,0
3,CONTENT_00000009,0
7,CONTENT_00000009,0
6,CONTENT_00000010,0
3,CONTENT_00000010,0
3,CONTENT_00000011,0
1,CONTENT_00000012,0
8,CONTENT_00000012,0
2,CONTENT_00000013,0
10,CONTENT_00000014,0
4,CONTENT_00000014,0
10,CONTENT_00000015,0
6,CONTENT_00000092,0
3,CONTENT_00000092,0
9,CONTENT_00000093,0
3,CONTENT_00000093,0
6,CONTENT_00000094,0
1,CONTENT_00000094,0
5,CONTENT_00000095,0
10,CONTENT_00000095,0
4,CONTENT_00000096,0
1,CONTENT_00000097,0
6,CONTENT_00000097,0
3,CONTENT_00000098,0
9,CONTENT_00000098,0
5,CONTENT_00000099,0
8,CONTENT_00000099,0
2,CONTENT_00000100,0
5,CONTENT_00000100,0
8,CONTENT_00000100,0
4,CONTENT_00000002,0
8,CONTENT_00000002,0
5,CONTENT_00000002,0
5,CONTENT_00000003,0
6,CONTENT_00000003,0
4,CONTENT_00000003,0
3,CONTENT_00000004,0
10,CONTENT_00000004,0
7,CONTENT_00000004,0
7,CONTENT_00000005,0
8,CONTENT_00000005,0
5,CONTENT_00000006,0
1,CONTENT_00000006,0
2,CONTENT_00000007,0
7,CONTENT_00000007,0
1,CONTENT_00000054,0
10,CONTENT_00000054,0
4,CONTENT_00000054,0
2,CONTENT_00000055,0
6,CONTENT_00000055,0
4,CONTENT_00000015,0
6,CONTENT_00000015,0
10,CONTENT_00000016,0
6,CONTENT_00000016,0
5,CONTENT_00000016,0
9,CONTENT_00000017,0
6,CONTENT_00000017,0
1,CONTENT_00000017,0
1,CONTENT_00000018,0
10,CONTENT_00000019,0
9,CONTENT_00000020,0
5,CONTENT_00000020,0
8,CONTENT_00000020,0
4,CONTENT_00000021,0
4,CONTENT_00000022,0
7,CONTENT_00000022,0
4,CONTENT_00000023,0
7,CONTENT_00000024,0
7,CONTENT_00000025,0
6,CONTENT_00000025,0
10,CONTENT_00000026,0
4,CONTENT_00000026,0
4,CONTENT_00000027,0
2,CONTENT_00000028,0
8,CONTENT_00000028,0
9,CONTENT_00000029,0
6,CONTENT_00000029,0
6,CONTENT_00000030,0
3,CONTENT_00000030,0
8,CONTENT_00000030,0
6,CONTENT_00000031,0
5,CONTENT_00000032,0
4,CONTENT_00000033,0
6,CONTENT_00000034,0
3,CONTENT_00000034,0
8,CONTENT_00000034,0
1,CONTENT_00000035,0
9,CONTENT_00000035,0
5,CONTENT_00000035,0
1,CONTENT_00000036,0
5,CONTENT_00000036,0
10,CONTENT_00000037,0
1,CONTENT_00000038,0
1,CONTENT_00000039,0
8,CONTENT_00000039,0
2,CONTENT_00000039,0
2,CONTENT_00000040,0
9,CONTENT_00000041,0
8,CONTENT_00000041,0
5,CONTENT_00000042,0
3,CONTENT_00000042,0
3,CONTENT_00000043,0
4,CONTENT_00000043,0
7,CONTENT_00000043,0
5,CONTENT_00000044,0
7,CONTENT_00000044,0
6,CONTENT_00000044,0
10,CONTENT_00000045,0
1,CONTENT_00000046,0
10,CONTENT_00000047,0
4,CONTENT_00000047,0
10,CONTENT_00000048,0
8,CONTENT_00000048,0
5,CONTENT_00000049,0
9,CONTENT_00000049,0
1,CONTENT_00000050,0
9,CONTENT_00000051,0
8,CONTENT_00000051,0
7,CONTENT_00000052,0
6,CONTENT_00000052,0
10,CONTENT_00000052,0
6,CONTENT_00000053,0
5,CONTENT_00000053,0
8,CONTENT_00000056,0
2,CONTENT_00000056,0
9,CONTENT_00000057,0
6,CONTENT_00000058,0
3,CONTENT_00000059,0
7,CONTENT_00000059,0
1,CONTENT_00000059,0
7,CONTENT_00000060,0
4,CONTENT_00000060,0
