GENRE_ID,CONTENT_CODE,IS_UP_TO_DATE
4,CONTENT_00000001,0
8,CONTENT_00000001,0
9,CONTENT_00000001,0
2,CONTENT_00000002,0
4,CONTENT_00000002,0
10,CONTENT_00000002,0
4,CONTENT_00000003,0
4,CONTENT_00000004,0
7,CONTENT_00000004,0
2,CONTENT_00000005,0
4,CONTENT_00000006,0
5,CONTENT_00000006,0
7,CONTENT_00000006,0
5,CONTENT_00000007,0
9,CONTENT_00000007,0
8,CONTENT_00000008,0
1,CONTENT_00000009,0
9,CONTENT_00000009,0
10,CONTENT_00000009,0
3,CONTENT_00000010,0
8,CONTENT_00000010,0
4,CONTENT_00000011,0
2,CONTENT_00000012,0
8,CONTENT_00000012,0
6,CONTENT_00000013,0
7,CONTENT_00000013,0
4,CONTENT_00000014,0
7,CONTENT_00000014,0
8,CONTENT_00000014,0
1,CONTENT_00000015,0
1,CONTENT_00000016,0
9,CONTENT_00000016,0
1,CONTENT_00000017,0
5,CONTENT_00000017,0
8,CONTENT_00000017,0
2,CONTENT_00000018,0
2,CONTENT_00000019,0
4,CONTENT_00000019,0
9,CONTENT_00000019,0
2,CONTENT_00000020,0
4,CONTENT_00000021,0
5,CONTENT_00000021,0
6,CONTENT_00000021,0
8,CONTENT_00000022,0
1,CONTENT_00000023,0
2,CONTENT_00000023,0
4,CONTENT_00000023,0
2,CONTENT_00000024,0
2,CONTENT_00000025,0
8,CONTENT_00000025,0
1,CONTENT_00000026,0
2,CONTENT_00000026,0
6,CONTENT_00000027,0
7,CONTENT_00000028,0
3,CONTENT_00000029,0
7,CONTENT_00000029,0
4,CONTENT_00000030,0
10,CONTENT_00000030,0
7,CONTENT_00000031,0
2,CONTENT_00000032,0
7,CONTENT_00000032,0
9,CONTENT_00000032,0
2,CONTENT_00000033,0
3,CONTENT_00000033,0
10,CONTENT_00000033,0
3,CONTENT_00000034,0
6,CONTENT_00000034,0
8,CONTENT_00000035,0
9,CONTENT_00000035,0
10,CONTENT_00000035,0
4,CONTENT_00000036,0
9,CONTENT_00000036,0
4,CONTENT_00000037,0
8,CONTENT_00000037,0
10,CONTENT_00000037,0
4,CONTENT_00000038,0
6,CONTENT_00000038,0
8,CONTENT_00000038,0
2,CONTENT_00000039,0
9,CONTENT_00000039,0
10,CONTENT_00000039,0
7,CONTENT_00000040,0
8,CONTENT_00000040,0
10,CONTENT_00000040,0
4,CONTENT_00000041,0
5,CONTENT_00000041,0
6,CONTENT_00000041,0
2,CONTENT_00000042,0
1,CONTENT_00000043,0
4,CONTENT_00000044,0
9,CONTENT_00000044,0
5,CONTENT_00000045,0
6,CONTENT_00000045,0
10,CONTENT_00000045,0
4,CONTENT_00000046,0
5,CONTENT_00000046,0
6,CONTENT_00000046,0
1,CONTENT_00000047,0
3,CONTENT_00000047,0
4,CONTENT_00000047,0
3,CONTENT_00000048,0
2,CONTENT_00000049,0
6,CONTENT_00000049,0
7,CONTENT_00000049,0
6,CONTENT_00000050,0
2,CONTENT_00000051,0
8,CONTENT_00000051,0
7,CONTENT_00000052,0
8,CONTENT_00000052,0
1,CONTENT_00000053,0
6,CONTENT_00000053,0
1,CONTENT_00000054,0
2,CONTENT_00000054,0
9,CONTENT_00000054,0
3,CONTENT_00000055,0
8,CONTENT_00000055,0
9,CONTENT_00000055,0
3,CONTENT_00000056,0
5,CONTENT_00000056,0
7,CONTENT_00000057,0
9,CONTENT_00000057,0
4,CONTENT_00000058,0
1,CONTENT_00000059,0
9,CONTENT_00000059,0
3,CONTENT_00000060,0
5,CONTENT_00000060,0
7,CONTENT_00000060,0
5,CONTENT_00000061,0
8,CONTENT_00000061,0
3,CONTENT_00000062,0
5,CONTENT_00000063,0
2,CONTENT_00000064,0
10,CONTENT_00000064,0
4,CONTENT_00000065,0
6,CONTENT_00000065,0
10,CONTENT_00000065,0
1,CONTENT_00000066,0
4,CONTENT_00000067,0
6,CONTENT_00000067,0
8,CONTENT_00000067,0
4,CONTENT_00000068,0
5,CONTENT_00000068,0
2,CONTENT_00000069,0
3,CONTENT_00000069,0
5,CONTENT_00000069,0
1,CONTENT_00000070,0
6,CONTENT_00000070,0
10,CONTENT_00000070,0
8,CONTENT_00000071,0
3,CONTENT_00000072,0
5,CONTENT_00000072,0
6,CONTENT_00000072,0
4,CONTENT_00000073,0
5,CONTENT_00000073,0
1,CONTENT_00000074,0
5,CONTENT_00000074,0
10,CONTENT_00000074,0
2,CONTENT_00000075,0
5,CONTENT_00000075,0
7,CONTENT_00000075,0
1,CONTENT_00000076,0
4,CONTENT_00000076,0
6,CONTENT_00000076,0
8,CONTENT_00000077,0
10,CONTENT_00000077,0
8,CONTENT_00000078,0
7,CONTENT_00000079,0
4,CONTENT_00000080,0
10,CONTENT_00000081,0
6,CONTENT_00000082,0
7,CONTENT_00000082,0
4,CONTENT_00000083,0
6,CONTENT_00000083,0
5,CONTENT_00000084,0
4,CONTENT_00000085,0
6,CONTENT_00000085,0
6,CONTENT_00000086,0
2,CONTENT_00000087,0
7,CONTENT_00000087,0
2,CONTENT_00000088,0
7,CONTENT_00000088,0
10,CONTENT_00000088,0
2,CONTENT_00000089,0
3,CONTENT_00000089,0
5,CONTENT_00000090,0
10,CONTENT_00000091,0
4,CONTENT_00000092,0
7,CONTENT_00000092,0
9,CONTENT_00000092,0
10,CONTENT_00000093,0
7,CONTENT_00000094,0
1,CONTENT_00000095,0
2,CONTENT_00000095,0
10,CONTENT_00000095,0
4,CONTENT_00000096,0
9,CONTENT_00000097,0
4,CONTENT_00000098,0
10,CONTENT_00000098,0
1,CONTENT_00000099,0
5,CONTENT_00000099,0
5,CONTENT_00000100,0
9,CONTENT_00000100,0
10,CONTENT_00000100,0
2,CONTENT_00000101,0
10,CONTENT_00000101,0
3,CONTENT_00000102,0
6,CONTENT_00000102,0
9,CONTENT_00000102,0
1,CONTENT_00000103,0
5,CONTENT_00000103,0
9,CONTENT_00000103,0
5,CONTENT_00000104,0
9,CONTENT_00000104,0
5,CONTENT_00000105,0
6,CONTENT_00000106,0
10,CONTENT_00000106,0
1,CONTENT_00000107,0
2,CONTENT_00000107,0
9,CONTENT_00000107,0
1,CONTENT_00000108,0
4,CONTENT_00000108,0
7,CONTENT_00000108,0
4,CONTENT_00000109,0
5,CONTENT_00000109,0
7,CONTENT_00000109,0
2,CONTENT_00000110,0
6,CONTENT_00000110,0
10,CONTENT_00000110,0
7,CONTENT_00000111,0
1,CONTENT_00000112,0
1,CONTENT_00000113,0
3,CONTENT_00000113,0
6,CONTENT_00000113,0
1,CONTENT_00000114,0
1,CONTENT_00000115,0
3,CONTENT_00000115,0
2,CONTENT_00000116,0
10,CONTENT_00000116,0
6,CONTENT_00000117,0
1,CONTENT_00000118,0
7,CONTENT_00000118,0
2,CONTENT_00000119,0
5,CONTENT_00000119,0
9,CONTENT_00000119,0
6,CONTENT_00000120,0
9,CONTENT_00000120,0
10,CONTENT_00000120,0
5,CONTENT_00000121,0
10,CONTENT_00000121,0
9,CONTENT_00000122,0
2,CONTENT_00000123,0
4,CONTENT_00000123,0
8,CONTENT_00000124,0
3,CONTENT_00000125,0
8,CONTENT_00000126,0
9,CONTENT_00000126,0
10,CONTENT_00000126,0
3,CONTENT_00000127,0
4,CONTENT_00000127,0
10,CONTENT_00000127,0
8,CONTENT_00000128,0
2,CONTENT_00000129,0
6,CONTENT_00000129,0
8,CONTENT_00000129,0
6,CONTENT_00000130,0
2,CONTENT_00000131,0
6,CONTENT_00000131,0
2,CONTENT_00000132,0
3,CONTENT_00000132,0
9,CONTENT_00000133,0
7,CONTENT_00000134,0
10,CONTENT_00000134,0
9,CONTENT_00000135,0
10,CONTENT_00000135,0
1,CONTENT_00000136,0
1,CONTENT_00000137,0
3,CONTENT_00000137,0
9,CONTENT_00000137,0
8,CONTENT_00000138,0
9,CONTENT_00000138,0
2,CONTENT_00000139,0
3,CONTENT_00000139,0
6,CONTENT_00000139,0
