session_id,user_id,content_id,device_id,time_id,session_code,source,watched_duration,watched_percent,is_up_to_date
1,1739,1933,775,1004626,SESSION_00000001,postgresql1,110,61.111111111111114,1
2,10,762,1327,269806,SESSION_00000001,postgresql2,64,35.55555555555556,0
3,871,295,946,586928,SESSION_00000002,postgresql1,55,30.555555555555557,1
4,972,1278,14,509875,SESSION_00000002,postgresql2,158,87.77777777777777,0
5,1693,687,1791,547994,SESSION_00000003,postgresql1,166,92.22222222222223,1
6,1612,1916,1679,978977,SESSION_00000003,postgresql2,73,40.55555555555556,0
7,1697,167,1577,618728,SESSION_00000004,postgresql1,103,57.22222222222222,1
8,356,1424,903,268772,SESSION_00000004,postgresql2,129,71.66666666666667,0
9,629,465,1593,299827,SESSION_00000005,postgresql1,14,7.777777777777778,1
10,1376,1112,1334,1051950,SESSION_00000005,postgresql2,21,11.666666666666666,0
11,39,1977,636,1120413,SESSION_00000006,postgresql1,53,29.444444444444446,1
12,1200,1758,931,515449,SESSION_00000006,postgresql2,122,67.77777777777779,0
13,1521,1369,1300,916377,SESSION_00000007,postgresql1,174,96.66666666666667,1
14,1636,914,1124,1064268,SESSION_00000007,postgresql2,128,71.11111111111111,0
15,447,525,735,1234316,SESSION_00000008,postgresql1,52,28.888888888888886,1
16,1518,502,1478,997619,SESSION_00000008,postgresql2,159,88.33333333333333,0
17,41,35,600,890355,SESSION_00000009,postgresql1,105,58.333333333333336,1
18,1120,232,1806,428697,SESSION_00000009,postgresql2,90,50.0,0
19,1989,1817,1357,435310,SESSION_00000010,postgresql1,156,86.66666666666667,1
20,494,1382,137,1183142,SESSION_00000010,postgresql2,161,89.44444444444444,0
21,725,913,950,452580,SESSION_00000011,postgresql1,109,60.55555555555555,1
22,278,1098,1537,429601,SESSION_00000011,postgresql2,45,25.0,0
23,743,1753,384,263964,SESSION_00000012,postgresql1,170,94.44444444444444,1
24,76,852,741,458805,SESSION_00000012,postgresql2,161,89.44444444444444,0
25,13,1329,313,912404,SESSION_00000013,postgresql1,25,13.88888888888889,1
26,218,1518,886,1262308,SESSION_00000013,postgresql2,151,83.88888888888889,0
27,923,1187,1465,519066,SESSION_00000014,postgresql1,90,50.0,1
28,1524,1440,1585,400046,SESSION_00000014,postgresql2,131,72.77777777777777,0
29,1669,151,1569,580277,SESSION_00000015,postgresql1,166,92.22222222222223,1
30,888,344,286,948418,SESSION_00000015,postgresql2,91,50.55555555555556,0
31,11,1379,1434,229540,SESSION_00000016,postgresql1,101,56.111111111111114,1
32,1804,1762,1810,866480,SESSION_00000016,postgresql2,64,35.55555555555556,0
33,1011,1315,416,863191,SESSION_00000017,postgresql1,151,83.88888888888889,1
34,1946,1172,1209,500916,SESSION_00000017,postgresql2,97,53.888888888888886,0
35,907,455,263,1149745,SESSION_00000018,postgresql1,172,95.55555555555556,1
36,862,736,193,231760,SESSION_00000018,postgresql2,46,25.555555555555554,0
37,1469,133,538,658595,SESSION_00000019,postgresql1,19,10.555555555555555,1
38,1702,88,477,1165589,SESSION_00000019,postgresql2,92,51.11111111111111,0
39,497,807,1675,425286,SESSION_00000020,postgresql1,154,85.55555555555556,1
